Age,Sex,Types,Co2,Exercise,Num_of_use
30대,,정기,0.36,49.75,2
50대,,정기,4.23,527.68,4
20대,F,정기,12.18,1188.42,38
30대,F,정기,15.91,1638.38,27
40대,F,정기,2.38,253.8,8
50대,F,정기,3.89,359.55,11
70대이상,F,정기,0.15,17.74,1
기타,F,정기,1.43,147.35,7
20대,M,정기,17.37,2006.14,62
30대,M,정기,21.82,2829.33,54
40대,M,정기,15.44,2078.85,34
50대,M,정기,5.88,749.48,16
60대,M,정기,0.68,80.76,3
70대이상,M,정기,0,0,2
기타,M,정기,4.6,550.18,18
20대,,단체,12.29,1425.37,4
20대,F,단체,3.72,371.79,6
10대,M,단체,1.04,116.34,2
기타,M,단체,2.48,316.72,2
기타,,일일(비회원),23.41,2596.6,22
10대,,일일(회원),3.09,311.24,6
20대,,일일(회원),45.22,4797.67,43
30대,,일일(회원),21.15,2566.95,19
40대,,일일(회원),4.35,495.72,3
50대,,일일(회원),3.07,340.29,2
70대이상,,일일(회원),1.11,123.04,1
기타,,일일(회원),3.38,357.88,4
20대,,일일(회원),1.26,141.61,5
30대,,일일(회원),1.25,102.54,1
10대,F,일일(회원),8.44,896.71,5
20대,F,일일(회원),30.93,3075.58,29
30대,F,일일(회원),13.5,1424.51,11
40대,F,일일(회원),1.61,178.12,1
기타,F,일일(회원),10.57,1117.58,11
10대,M,일일(회원),3.71,447.11,10
20대,M,일일(회원),43.19,5392.91,34
30대,M,일일(회원),15.31,2053.88,11
40대,M,일일(회원),0.52,67.38,2
기타,M,일일(회원),15.4,2061.68,13
10대,,정기,0,0,1
20대,,정기,49.69,5594.92,85
30대,,정기,51.65,6215.29,67
40대,,정기,9.48,1143.62,21
50대,,정기,14.14,1632.97,20
60대,,정기,10.29,1237.64,24
기타,,정기,2.82,365.66,3
20대,,정기,3.36,358.94,11
30대,,정기,9.01,1037.06,11
50대,,정기,0.95,121.73,4
20대,F,정기,30.26,3118.64,42
30대,F,정기,23.09,2294.38,41
40대,F,정기,3.87,429.48,12
50대,F,정기,10.45,1091.22,9
60대,F,정기,5.27,482.62,3
70대이상,F,정기,10.35,869.19,7
기타,F,정기,3.61,391.84,9
10대,M,정기,5.92,714.75,4
20대,M,정기,45.82,5484.06,87
30대,M,정기,35.97,4648.71,77
40대,M,정기,20.98,2724.48,38
50대,M,정기,19.8,2468.53,32
60대,M,정기,13.16,1516.37,30
70대이상,M,정기,2.19,249.92,3
기타,M,정기,11.04,1395.71,22
20대,,단체,0.56,62.03,1
20대,M,단체,1.03,103.6,1
기타,,일일(비회원),7.06,784.3,15
10대,,일일(회원),0.19,24.12,1
20대,,일일(회원),7.29,718.73,15
30대,,일일(회원),2.16,279.84,8
40대,,일일(회원),0.61,67.73,2
기타,,일일(회원),0.94,103.56,3
20대,,일일(회원),0.91,94.89,6
30대,,일일(회원),0.22,25.85,1
10대,F,일일(회원),2.02,212.8,5
20대,F,일일(회원),7.07,682.96,11
30대,F,일일(회원),2.77,303.77,4
50대,F,일일(회원),0.46,51.22,1
기타,F,일일(회원),1.98,208.53,5
10대,M,일일(회원),1.47,165.87,3
20대,M,일일(회원),4.21,478.06,9
30대,M,일일(회원),0,0,2
40대,M,일일(회원),0.78,118.55,3
기타,M,일일(회원),3.31,397.64,9
10대,,정기,1.92,207.09,3
20대,,정기,26.74,2838.22,112
30대,,정기,73.13,8774.36,126
40대,,정기,6.72,740.6,19
50대,,정기,2.5,318.78,15
60대,,정기,0.84,100.35,2
70대이상,,정기,2.61,289.93,1
기타,,정기,0,0,1
20대,,정기,4.03,568.69,15
30대,,정기,1.18,145.48,3
20대,F,정기,18.83,2044.07,51
30대,F,정기,20.04,2138.81,41
40대,F,정기,15.57,1425.8,48
50대,F,정기,0.47,46.62,6
60대,F,정기,0.14,18.69,1
70대이상,F,정기,0.17,20.79,1
기타,F,정기,5.92,651.1,25
10대,M,정기,1.22,139.22,6
20대,M,정기,16.1,2203.01,51
30대,M,정기,23.99,2924.85,88
40대,M,정기,14.6,1933.66,52
50대,M,정기,7.6,1058.87,27
60대,M,정기,2.32,325.11,8
기타,M,정기,6.46,738.31,28
20대,,단체,1.91,231.85,2
20대,M,단체,0.64,98.72,3
기타,,일일(비회원),6.6,731.81,5
10대,,일일(회원),4.83,463.42,7
20대,,일일(회원),12.3,1397.06,19
30대,,일일(회원),0.66,57.31,3
40대,,일일(회원),0.41,35.38,1
60대,,일일(회원),3.63,370.36,17
기타,,일일(회원),0.44,32.76,1
20대,,일일(회원),2.23,264.52,4
30대,,일일(회원),0,0,1
60대,,일일(회원),0,0,1
10대,F,일일(회원),0.86,92.73,2
20대,F,일일(회원),9.66,979.48,19
30대,F,일일(회원),4.53,416.25,5
기타,F,일일(회원),0.41,42.98,2
10대,M,일일(회원),11.28,1276.19,5
20대,M,일일(회원),10.3,1272.26,22
30대,M,일일(회원),6.97,906.48,9
60대,M,일일(회원),0.14,14.26,1
기타,M,일일(회원),4.95,619.15,6
10대,,정기,0.4,58.23,1
20대,,정기,18.59,2110.02,66
30대,,정기,32.24,4501.5,67
40대,,정기,4.91,541.07,14
50대,,정기,7.95,977.06,5
60대,,정기,20.46,2516.77,39
기타,,정기,1.43,157.89,3
20대,,정기,11.97,1296.84,20
30대,,정기,1,143.03,4
20대,F,정기,16.56,1596.56,87
30대,F,정기,7.9,772.35,33
40대,F,정기,2.05,213.07,5
50대,F,정기,2.59,287,1
기타,F,정기,0.76,78.04,6
10대,M,정기,10.65,1219.24,25
20대,M,정기,25.65,3361.55,57
30대,M,정기,33,4296.69,80
40대,M,정기,8.57,1040.92,23
50대,M,정기,3.37,444.16,16
60대,M,정기,0.73,96.64,7
기타,M,정기,12.19,1332.32,36
20대,,일일(비회원),0.27,30.03,1
기타,,일일(비회원),3.83,424.73,6
10대,,일일(회원),2.02,272.48,1
20대,,일일(회원),7.87,779.37,16
30대,,일일(회원),3.15,364.84,6
40대,,일일(회원),0,0,1
기타,,일일(회원),0,0,1
20대,,일일(회원),1.16,172.06,2
10대,F,일일(회원),0.5,55.05,1
20대,F,일일(회원),14.43,1517.6,20
30대,F,일일(회원),6.77,660.86,8
기타,F,일일(회원),2.69,298.25,3
10대,M,일일(회원),4,603.44,3
20대,M,일일(회원),14.79,1773.66,30
30대,M,일일(회원),9.58,1200.27,11
기타,M,일일(회원),0.25,34.44,4
10대,,정기,0.86,8.79,2
20대,,정기,24.49,2719.42,36
30대,,정기,20.51,2296.33,28
40대,,정기,17.91,2101.1,33
50대,,정기,1.46,188.67,5
60대,,정기,5.7,690.43,16
기타,,정기,7.37,748.52,7
20대,,정기,1.4,145.14,4
30대,,정기,22.21,2691.24,46
10대,F,정기,2.49,274.99,6
20대,F,정기,7.97,805.97,14
30대,F,정기,11.54,1274.43,32
40대,F,정기,6.76,656.54,20
50대,F,정기,0.92,89.68,2
기타,F,정기,3.13,330.82,6
10대,M,정기,0.08,8.75,2
20대,M,정기,42.14,5038.6,56
30대,M,정기,39.55,4738.5,74
40대,M,정기,12.24,1569.63,20
50대,M,정기,30.91,3934.74,18
60대,M,정기,0.37,40.69,2
기타,M,정기,2.21,262.99,20
기타,,일일(비회원),14.28,1582.73,7
10대,,일일(회원),1.95,180.05,1
20대,,일일(회원),15.93,1639.91,20
30대,,일일(회원),3.73,407.67,3
60대,,일일(회원),1.06,109.27,3
기타,,일일(회원),0,0,1
20대,,일일(회원),1.55,152.22,5
30대,,일일(회원),0.57,67.89,1
50대,,일일(회원),2.07,261.39,1
20대,F,일일(회원),20.53,2090.15,25
30대,F,일일(회원),0.46,45.03,2
기타,F,일일(회원),0.34,35.6,3
10대,M,일일(회원),0,0,1
20대,M,일일(회원),12.5,1431.19,12
30대,M,일일(회원),3.62,412.14,13
40대,M,일일(회원),0.37,37.77,1
