Age,Sex,Types,Co2,Exercise,Num_of_use
50대,,정기,6.17,677.52,23
60대,,정기,1.47,164.71,5
기타,,정기,0.36,36.83,2
20대,,정기,3.93,437.07,10
30대,,정기,3.91,494.22,11
40대,,정기,11.08,1635.92,18
50대,,정기,0.11,14.03,1
10대,F,정기,0,0,1
20대,F,정기,14.08,1393.79,58
30대,F,정기,22.64,2289.73,70
40대,F,정기,13.81,1465.74,28
50대,F,정기,3.04,327.92,17
60대,F,정기,0.4,43.16,1
기타,F,정기,6.47,691.94,17
10대,M,정기,0.26,28.83,1
20대,M,정기,23.87,2953.43,85
30대,M,정기,23.47,2859.56,79
40대,M,정기,27.26,3522.51,86
50대,M,정기,17.14,2222.44,64
60대,M,정기,3.58,409.64,13
기타,M,정기,15.16,1609.49,41
40대,F,단체,0.22,22.1,2
20대,M,단체,0,0,2
기타,,일일(비회원),5.39,597.17,5
20대,,일일(회원),4.84,393.65,16
30대,,일일(회원),5.18,623.09,13
40대,,일일(회원),0.57,53.14,1
20대,,일일(회원),0.22,24.91,2
40대,,일일(회원),1.12,150.38,2
20대,F,일일(회원),4.03,428.8,9
30대,F,일일(회원),1.46,124.74,1
60대,F,일일(회원),0.4,44.02,1
기타,F,일일(회원),1.22,113.91,3
20대,M,일일(회원),2.62,334.82,7
30대,M,일일(회원),0.51,60.71,2
50대,M,일일(회원),2.35,331.48,2
기타,M,일일(회원),4.51,654.44,21
20대,,정기,18.46,2005.03,46
30대,,정기,4.16,537.11,13
40대,,정기,0.55,58.93,7
50대,,정기,1.81,210.79,5
60대,,정기,5.72,683.86,11
20대,,정기,0.17,19.01,1
50대,,정기,0.52,63.03,2
10대,F,정기,1.18,121.11,3
20대,F,정기,4.29,424.32,18
30대,F,정기,14.64,1452.82,30
40대,F,정기,1.15,113.21,5
50대,F,정기,6.88,645.42,11
60대,F,정기,0.17,14.98,2
기타,F,정기,2.25,215.31,9
10대,M,정기,0.26,28.57,7
20대,M,정기,29.7,3616,55
30대,M,정기,16.31,1899.01,46
40대,M,정기,14.51,1646.87,39
50대,M,정기,8.41,1159.6,23
60대,M,정기,2.94,359.48,7
기타,M,정기,7.59,936.6,32
10대,,단체,4.86,580.49,5
20대,M,단체,0,0,1
기타,,일일(비회원),1.07,118.92,2
10대,,일일(회원),2.32,275.28,2
20대,,일일(회원),6.1,735.97,8
30대,,일일(회원),0.18,23.46,1
40대,,일일(회원),0.38,50.99,1
기타,,일일(회원),4.12,456.48,2
10대,,일일(회원),0.72,67.74,1
10대,F,일일(회원),0.49,43.45,1
20대,F,일일(회원),1.66,170.69,3
30대,F,일일(회원),2.93,325.61,2
기타,F,일일(회원),2.74,244.26,5
10대,M,일일(회원),0.74,120.04,4
20대,M,일일(회원),0.52,65.24,3
30대,M,일일(회원),0,0,1
40대,M,일일(회원),2.29,254.31,2
50대,M,일일(회원),0.92,115.87,1
기타,M,일일(회원),0.6,85.82,1
10대,,정기,0.76,85.27,2
20대,,정기,12.04,1649.42,24
30대,,정기,5.3,508.53,16
40대,,정기,8.74,943.69,28
50대,,정기,0.38,42.41,1
20대,,정기,0.92,89.62,2
60대,,정기,1.94,215.01,1
10대,F,정기,0.62,68.47,1
20대,F,정기,1.27,124.94,3
30대,F,정기,0,0,2
50대,F,정기,0.55,56.55,1
기타,F,정기,0.13,13.33,1
10대,M,정기,1.94,214.42,4
20대,M,정기,6.23,727.37,12
30대,M,정기,1.73,195.79,9
40대,M,정기,3.08,372.54,9
50대,M,정기,59.27,7081.24,25
60대,M,정기,2.32,248.7,4
70대이상,M,정기,1.58,202.11,1
기타,M,정기,3.35,374.71,9
20대,M,단체,0.12,14.45,1
기타,,일일(비회원),0,0,2
20대,,일일(회원),1.86,203.38,4
40대,,일일(회원),0.23,29.66,3
기타,,일일(회원),0.13,14.44,1
10대,,일일(회원),0.46,53.05,1
20대,,일일(회원),3.52,312.09,1
50대,,일일(회원),0.2,21.29,1
20대,F,일일(회원),3.14,259.29,3
30대,F,일일(회원),0.34,34.45,1
50대,F,일일(회원),0,0,1
20대,M,일일(회원),2.06,232.68,5
30대,M,일일(회원),0.26,37.47,1
40대,M,일일(회원),0.29,32.69,1
10대,,정기,1.19,91.42,2
20대,,정기,2.93,336.86,11
30대,,정기,0.09,14.93,1
40대,,정기,24.27,3627.26,17
50대,,정기,3.9,517.91,17
20대,,정기,0.86,70.34,1
40대,,정기,1.24,156.2,2
10대,F,정기,1.41,125.21,1
20대,F,정기,1.45,160.36,5
40대,F,정기,0,0,1
50대,F,정기,7.75,738.7,9
10대,M,정기,0.2,22.39,1
20대,M,정기,1.04,114.8,3
30대,M,정기,2.99,358.4,13
40대,M,정기,8.65,961.89,16
50대,M,정기,6.77,872.49,14
70대이상,M,정기,3.37,431.58,4
기타,M,정기,2.61,307.96,11
10대,,일일(회원),2.36,258.27,2
20대,,일일(회원),1.94,236.54,8
30대,,일일(회원),2.27,262.6,7
40대,,일일(회원),5.13,571.61,7
50대,,일일(회원),2.46,352.72,2
20대,,일일(회원),0,0,1
10대,F,일일(회원),0.35,32.67,2
20대,F,일일(회원),3.7,414.41,8
기타,F,일일(회원),0.25,23.01,2
10대,M,일일(회원),0.49,58.13,3
20대,M,일일(회원),1,123.19,4
30대,M,일일(회원),3.1,359.76,3
40대,M,일일(회원),4.97,610.18,6
10대,,정기,2.89,345.9,15
20대,,정기,4.16,424.94,15
30대,,정기,31.5,3869.67,35
40대,,정기,6.97,783.89,24
50대,,정기,1.77,218.19,5
60대,,정기,0.72,80.43,2
70대이상,,정기,0.71,78.76,2
기타,,정기,2.21,245.88,9
20대,,정기,1.95,250.55,7
40대,,정기,4.29,403.4,14
10대,F,정기,0.34,29.86,1
20대,F,정기,4.32,456.84,19
30대,F,정기,2.43,220.42,5
40대,F,정기,0.73,74.32,4
50대,F,정기,1.83,201.74,5
기타,F,정기,3.81,390.46,14
10대,M,정기,2.5,331.54,4
20대,M,정기,7.98,1005.39,40
30대,M,정기,16.84,1962.85,30
40대,M,정기,1.22,152.49,6
50대,M,정기,6.15,807.76,24
60대,M,정기,4.92,546.85,20
70대이상,M,정기,0.52,65.98,2
기타,M,정기,2.42,262.88,6
기타,,일일(비회원),2.27,251.88,4
20대,,일일(회원),2.74,338.61,4
30대,,일일(회원),0,0,1
40대,,일일(회원),0.52,73.24,1
50대,,일일(회원),0.23,25.3,1
50대,,일일(회원),3.32,351.72,5
40대,F,일일(회원),0.7,73.94,2
10대,M,일일(회원),0.35,39.16,1
20대,M,일일(회원),1.99,266.47,5
30대,M,일일(회원),2.38,345.96,2
60대,M,일일(회원),0.43,51.82,2
10대,,정기,1.94,198.63,1
20대,,정기,18.16,2431.26,77
30대,,정기,1.23,123.74,3
40대,,정기,0.45,46.57,1
50대,,정기,0,0,1
50대,,정기,0.94,107.01,1
60대,,정기,2,153.79,1
20대,F,정기,0.5,49.79,2
50대,F,정기,0.42,44.68,1
20대,M,정기,2.86,343.75,15
40대,M,정기,0.81,119.64,7
50대,M,정기,2.88,364.51,8
60대,M,정기,0.48,50.33,1
70대이상,M,정기,3.32,368.85,2
기타,M,정기,3.87,388.71,3
20대,,단체,0.59,75,2
기타,,일일(비회원),1.25,138.73,7
10대,,일일(회원),3.23,319.24,9
20대,,일일(회원),10.19,1106.27,21
30대,,일일(회원),2.38,259.65,7
40대,,일일(회원),1.23,130.53,4
기타,,일일(회원),2.42,266.13,3
20대,,일일(회원),1.16,136.53,3
10대,F,일일(회원),0,0,1
20대,F,일일(회원),1.94,164.52,10
30대,F,일일(회원),1.57,158.38,4
40대,F,일일(회원),3.02,313.85,7
기타,F,일일(회원),2.33,233.76,6
10대,M,일일(회원),4.53,514.26,5
20대,M,일일(회원),12.13,1335.79,17
30대,M,일일(회원),3.1,376.77,9
40대,M,일일(회원),2.23,296.84,6
60대,M,일일(회원),0.33,34.54,1
기타,M,일일(회원),5.52,701.86,12
10대,,정기,3.21,410.44,11
20대,,정기,22.96,2760.7,88
30대,,정기,14.51,1655.55,55
40대,,정기,4.31,526.8,23
50대,,정기,2.04,245.25,11
60대,,정기,5.19,562.17,12
기타,,정기,5.39,569.2,17
20대,,정기,0.7,71.57,5
30대,,정기,0.49,51.18,2
40대,,정기,2.37,274.57,8
50대,,정기,1.41,199.64,4
60대,,정기,1.41,114.68,7
10대,F,정기,1.62,192.82,9
20대,F,정기,6.58,679.52,28
30대,F,정기,7.28,696.36,18
40대,F,정기,4.04,419.78,19
50대,F,정기,8.03,769.24,22
60대,F,정기,1.49,166.43,8
기타,F,정기,2.95,304.43,12
10대,M,정기,4.7,589.57,19
20대,M,정기,19.68,2323.6,81
30대,M,정기,17.55,2290.97,49
40대,M,정기,9.33,1149.55,35
50대,M,정기,14.34,1753.29,13
60대,M,정기,1.69,209.69,6
기타,M,정기,2.82,350.77,12
기타,F,단체,0.99,110.78,2
10대,M,단체,0,0,1
기타,,일일(비회원),0,0,2
10대,,일일(회원),0.5,38.12,1
20대,,일일(회원),1.98,256.58,7
30대,,일일(회원),0.32,41.77,1
40대,,일일(회원),0.69,87.05,3
기타,,일일(회원),0.51,56.06,2
20대,,일일(회원),0.35,36.58,1
10대,F,일일(회원),1.36,133.25,5
20대,F,일일(회원),3.59,339.9,6
30대,F,일일(회원),2.44,231.1,3
10대,M,일일(회원),0.94,72.26,5
20대,M,일일(회원),3.76,468.75,11
30대,M,일일(회원),5.25,641.55,5
기타,M,일일(회원),1.87,181.94,7
10대,,정기,5.49,492.57,24
20대,,정기,18.16,2280.8,43
30대,,정기,2.97,356.94,16
40대,,정기,4.42,594.05,28
50대,,정기,10.24,1127.76,25
60대,,정기,0.48,58.45,1
기타,,정기,4.44,480.26,29
20대,,정기,5.6,724.22,21
40대,,정기,3.51,344.76,16
50대,,정기,3.14,406.64,8
10대,F,정기,0.89,102.13,3
20대,F,정기,4.42,391.37,24
30대,F,정기,1.8,165.57,6
40대,F,정기,7.57,823.91,22
50대,F,정기,1.47,134.78,6
기타,F,정기,4.45,424.28,13
10대,M,정기,16.3,1827.3,59
20대,M,정기,21.01,2641.89,76
30대,M,정기,3.1,428.38,9
40대,M,정기,5.05,708.77,14
50대,M,정기,10.38,1396.09,18
60대,M,정기,3.64,431.48,17
기타,M,정기,0.31,43.19,3
20대,F,일일(회원),0.13,13.24,1
40대,F,일일(회원),1.05,112.76,1
10대,M,일일(회원),0.19,21.23,1
20대,M,일일(회원),0.68,75.48,1
30대,M,일일(회원),0.61,72.9,1
40대,M,일일(회원),0.25,32.07,1
기타,M,일일(회원),1.27,191.12,2
10대,,정기,0.3,33.72,1
20대,,정기,4.69,460.09,15
30대,,정기,1.85,198.19,5
40대,,정기,0.11,17.37,1
50대,,정기,0.76,78.37,4
60대,,정기,4.85,532.44,11
20대,,정기,0,0,1
30대,,정기,1.57,166.52,4
50대,,정기,0.32,49.37,1
20대,F,정기,0.95,82.11,3
30대,F,정기,3.53,325.93,6
40대,F,정기,0.26,28.83,2
50대,F,정기,6.24,580.35,7
70대이상,F,정기,7.61,844.89,13
기타,F,정기,2.34,259.17,20
10대,M,정기,0.17,19.41,1
20대,M,정기,7.59,1014.36,10
30대,M,정기,8.19,1120.81,19
40대,M,정기,0.29,32.69,1
50대,M,정기,1.05,128.59,2
60대,M,정기,4.69,543.95,9
기타,M,정기,3.15,348.26,2
20대,M,단체,5.66,628.1,2
기타,,일일(비회원),0.15,16.99,2
20대,,일일(회원),4.25,404.74,4
30대,,일일(회원),0.39,30.9,1
40대,,일일(회원),0,0,1
20대,,일일(회원),0.47,52.58,1
10대,F,일일(회원),0.39,39.88,2
20대,F,일일(회원),0.43,45.42,1
30대,F,일일(회원),0.42,36.04,1
20대,M,일일(회원),0.18,23.07,1
30대,M,일일(회원),1.08,98.91,2
40대,M,일일(회원),1.16,178.2,1
60대,M,일일(회원),1.31,136.59,1
20대,,정기,4.24,558.74,11
30대,,정기,4.85,694.3,7
40대,,정기,3.04,385.63,6
60대,,정기,5.28,587.43,16
기타,,정기,3.45,371.7,7
40대,,정기,0.38,56.16,1
20대,F,정기,1.05,117.18,7
30대,F,정기,0.19,15.08,1
기타,F,정기,3.44,382.85,16
10대,M,정기,0.41,47.23,1
20대,M,정기,0.48,52.05,4
30대,M,정기,2.09,244.68,4
40대,M,정기,0.62,86.95,3
50대,M,정기,9.04,1065.9,6
60대,M,정기,0.96,104.05,4
70대이상,M,정기,0.31,36.08,1
기타,M,정기,0.86,90.69,6
30대,F,일일(회원),0.43,47.68,1
20대,M,일일(회원),1.56,198.49,4
기타,M,일일(회원),0.64,70.11,4
20대,,정기,1.43,152.64,12
30대,,정기,0.99,94.08,3
40대,,정기,1.17,145.11,3
50대,,정기,4.88,580.89,21
20대,,정기,0.54,64.59,1
40대,F,정기,0,0,1
기타,F,정기,1.63,216.74,5
20대,M,정기,0.74,90.83,4
30대,M,정기,0.91,119.05,12
50대,M,정기,0,0,1
70대이상,M,정기,0.73,80.82,3
20대,M,단체,0,0,2
기타,,일일(비회원),0.12,13.13,1
10대,,일일(회원),1.98,222.39,2
20대,,일일(회원),1.97,203.4,5
30대,,일일(회원),3.8,464.24,6
40대,,일일(회원),3.93,503.15,3
20대,F,일일(회원),0.87,90.47,3
기타,F,일일(회원),1.03,114.8,1
10대,M,일일(회원),0.59,96.31,2
20대,M,일일(회원),0.33,39.7,2
40대,M,일일(회원),2.72,297.69,2
기타,M,일일(회원),0.4,43.93,1
10대,,정기,26.73,2734.91,19
20대,,정기,6.26,654.27,17
30대,,정기,5.83,641.44,17
40대,,정기,2.47,295.1,2
50대,,정기,1.3,148.55,3
기타,,정기,0.85,103.16,2
20대,,정기,0.85,86.73,2
40대,,정기,0.22,24.73,2
20대,F,정기,2.5,253.89,12
30대,F,정기,3.24,314.43,26
40대,F,정기,1.63,140.64,4
50대,F,정기,0.84,74.05,6
기타,F,정기,2.7,262.3,8
10대,M,정기,0.17,26.37,1
20대,M,정기,7.5,843.76,21
30대,M,정기,8.28,986.21,17
40대,M,정기,2.61,314.54,7
50대,M,정기,13.48,1610.27,23
기타,M,정기,0.98,108,7
20대,,일일(회원),0.67,55.22,3
30대,,일일(회원),0,0,1
50대,,일일(회원),0.27,29.86,1
10대,F,일일(회원),1.3,140.62,2
20대,F,일일(회원),0.55,46.53,2
40대,F,일일(회원),0.69,80.03,4
10대,M,일일(회원),0.23,21.36,1
20대,M,일일(회원),0.74,96.05,2
40대,M,일일(회원),1.74,283.94,4
50대,M,일일(회원),15.27,1700.66,3
기타,M,일일(회원),0.72,79.54,1
10대,,정기,1.93,214.67,2
20대,,정기,1.7,176.53,10
30대,,정기,6.14,741.13,18
40대,,정기,7.6,891.78,13
50대,,정기,3.57,469.22,9
60대,,정기,3.88,422.81,10
70대이상,,정기,0,0,1
기타,,정기,0.36,36.6,3
20대,,정기,0,0,1
30대,,정기,4.78,434.08,11
40대,,정기,0.68,100.72,2
20대,F,정기,11.89,1138.92,15
30대,F,정기,2.25,203.36,11
40대,F,정기,3.02,101.01,10
50대,F,정기,0.17,17.82,1
기타,F,정기,0.16,17.1,1
20대,M,정기,19.56,2368.91,73
30대,M,정기,3.37,423.59,12
40대,M,정기,3.79,427.54,9
50대,M,정기,18.38,2205.22,25
60대,M,정기,1.34,148.69,1
기타,M,정기,23.98,3338.91,45
20대,,단체,0.96,101.64,2
20대,F,단체,3.03,336.16,4
30대,F,단체,3.05,364.54,3
10대,M,단체,1.04,114.32,2
기타,,일일(비회원),2.02,224.2,3
10대,,일일(회원),2.63,300.96,4
20대,,일일(회원),20.36,2193.92,42
30대,,일일(회원),10.12,1210.99,27
40대,,일일(회원),1.92,248.82,6
50대,,일일(회원),1.08,120.83,3
기타,,일일(회원),3.73,388.86,10
10대,,일일(회원),1.19,137.51,2
20대,,일일(회원),2.74,354.05,6
30대,,일일(회원),0.29,40.1,2
10대,F,일일(회원),3.35,355.34,5
20대,F,일일(회원),10.36,1072.45,29
30대,F,일일(회원),2.15,201.21,6
40대,F,일일(회원),3.17,326.17,6
50대,F,일일(회원),1.04,92.54,2
기타,F,일일(회원),0.81,82.02,3
10대,M,일일(회원),10.02,1095.49,17
20대,M,일일(회원),18.55,2223.45,37
30대,M,일일(회원),2.19,256.26,10
40대,M,일일(회원),0,0,2
기타,M,일일(회원),7.24,848.39,15
10대,,정기,9.28,1041.1,32
20대,,정기,68.39,7683.41,272
30대,,정기,44.4,5168.96,159
40대,,정기,32.28,3945.38,70
50대,,정기,5.61,639.84,25
60대,,정기,2.84,329.8,13
70대이상,,정기,0.27,29.68,1
기타,,정기,4.32,459.09,13
20대,,정기,13.64,1478.31,52
30대,,정기,10.44,1393.41,27
40대,,정기,0.1,14.64,4
50대,,정기,0.42,57.66,1
60대,,정기,0.4,50.1,1
10대,F,정기,1.04,119.77,4
20대,F,정기,13.26,1397.95,46
30대,F,정기,28.75,2905.83,65
40대,F,정기,6.48,700.29,25
50대,F,정기,13.65,1395.7,38
60대,F,정기,6.59,552.66,12
70대이상,F,정기,1.06,118.15,1
기타,F,정기,14.25,1281.23,39
10대,M,정기,4.87,574.65,20
20대,M,정기,45.42,5645.57,132
30대,M,정기,38.82,4658.26,112
40대,M,정기,12.4,1589.49,36
50대,M,정기,25.07,2865.03,39
60대,M,정기,2.05,254.25,12
70대이상,M,정기,5.36,585.45,4
기타,M,정기,13.5,1570.71,53
20대,F,단체,0.32,35.78,2
20대,M,단체,1.48,183.96,2
기타,,일일(비회원),0.56,62.29,3
20대,,일일(회원),12.88,1432.42,17
30대,,일일(회원),4.88,546.39,17
40대,,일일(회원),1.66,210.26,3
20대,,일일(회원),0.21,28.52,1
20대,F,일일(회원),7.94,772.47,16
30대,F,일일(회원),2.07,204.17,6
10대,M,일일(회원),1.42,157.2,2
20대,M,일일(회원),4.62,550.21,15
30대,M,일일(회원),0.49,74.19,3
60대,M,일일(회원),0.27,27.95,1
기타,M,일일(회원),2.72,422.26,6
10대,,정기,0.08,9.7,1
20대,,정기,51.01,5593.91,162
30대,,정기,37.65,4402.73,105
40대,,정기,4.34,482.94,16
50대,,정기,1.66,206.37,8
60대,,정기,1.58,213.9,6
70대이상,,정기,3.08,342.05,13
기타,,정기,3.21,356.09,7
10대,,정기,0.69,73.17,2
20대,,정기,8.03,897.38,31
30대,,정기,3.53,514.21,3
40대,,정기,0.55,71.69,2
50대,,정기,0.22,21.67,2
60대,,정기,8.42,834.91,20
20대,F,정기,18.05,1728.89,62
30대,F,정기,6.04,592.85,25
40대,F,정기,2.36,273.39,6
50대,F,정기,2.38,285.79,19
60대,F,정기,0.49,45.74,1
기타,F,정기,2.29,244.96,5
10대,M,정기,1.33,147.74,5
20대,M,정기,13.11,1604.15,54
30대,M,정기,23.15,2918.73,123
40대,M,정기,23.95,2546.14,25
50대,M,정기,3.17,364.46,8
60대,M,정기,0.76,84.02,2
기타,M,정기,11.18,1408.72,66
40대,,단체,0.92,149.45,2
기타,,일일(비회원),0.43,47.8,1
10대,,일일(회원),0.23,32.45,1
20대,,일일(회원),7.87,811.76,18
30대,,일일(회원),3.75,382.53,9
기타,,일일(회원),0.4,40.87,1
10대,F,일일(회원),0.48,45.46,2
20대,F,일일(회원),2.72,262.75,7
30대,F,일일(회원),4.84,440.28,3
기타,F,일일(회원),1.67,184.96,2
10대,M,일일(회원),3.03,411.13,5
20대,M,일일(회원),2.22,299.85,12
30대,M,일일(회원),3.11,423.39,5
40대,M,일일(회원),0.82,101.22,1
50대,M,일일(회원),4.06,610.12,7
60대,M,일일(회원),27.17,3477.81,24
기타,M,일일(회원),1.49,194.75,6
10대,,정기,1.39,152.41,5
20대,,정기,29.98,3252.62,103
30대,,정기,24.32,2815.17,72
40대,,정기,6.38,865.13,20
50대,,정기,19.93,2337.28,39
60대,,정기,4.06,516.39,14
기타,,정기,0.35,36.33,4
20대,,정기,0.76,81,3
30대,,정기,1.7,196.71,12
40대,,정기,1.38,152.02,5
50대,,정기,0.85,72.65,2
10대,F,정기,4.35,390.39,27
20대,F,정기,19.07,1912.72,64
30대,F,정기,4.42,429.31,11
40대,F,정기,3.33,336.01,7
50대,F,정기,0.16,16.98,1
기타,F,정기,1.28,142.24,2
10대,M,정기,5.18,577.83,41
20대,M,정기,14.71,1754.7,68
30대,M,정기,38.9,4425.26,109
40대,M,정기,19.84,2418.01,49
50대,M,정기,7.65,971.93,18
60대,M,정기,1.86,206.8,6
70대이상,M,정기,6.94,828.09,27
기타,M,정기,5.22,609.27,15
40대,F,단체,0.25,22.88,1
기타,,일일(비회원),2.98,331.41,11
20대,,일일(회원),5.12,597.94,12
30대,,일일(회원),0.19,17.09,1
40대,,일일(회원),1.52,220.03,4
60대,,일일(회원),0.76,85.21,2
20대,,일일(회원),0.58,79.03,1
20대,F,일일(회원),2.32,225.2,6
30대,F,일일(회원),0.36,39.64,1
기타,F,일일(회원),3.05,338.22,2
10대,M,일일(회원),0.6,66.69,1
20대,M,일일(회원),2.45,280.76,5
30대,M,일일(회원),0.57,79.55,2
40대,M,일일(회원),1.86,222.59,1
50대,M,일일(회원),0.61,82.68,1
기타,M,일일(회원),0.97,131.26,3
10대,,정기,0.5,55.76,2
20대,,정기,11.09,1234.58,27
30대,,정기,9.56,1013.19,42
40대,,정기,1.38,151.52,4
50대,,정기,1.06,140.42,9
60대,,정기,0.4,51.62,2
70대이상,,정기,0.17,18.88,1
기타,,정기,1.57,174.25,6
20대,,정기,5.09,670.53,22
40대,,정기,0.32,47.2,1
50대,,정기,1.14,169.08,4
20대,F,정기,5.79,621.33,5
30대,F,정기,4.48,460.23,6
40대,F,정기,5.26,564.09,9
50대,F,정기,0,0,1
60대,F,정기,0.78,86.23,1
70대이상,F,정기,0.15,17.01,2
기타,F,정기,9.96,1063.91,47
10대,M,정기,0.2,29.96,1
20대,M,정기,2.15,180.6,6
30대,M,정기,10.24,1371.49,27
40대,M,정기,2.25,355.79,8
50대,M,정기,0.72,105.43,4
60대,M,정기,0.34,53.92,1
기타,M,정기,4.51,520.95,13
20대,,단체,0,0,1
기타,,일일(비회원),4.51,499.19,8
10대,,일일(회원),0.48,51.46,2
20대,,일일(회원),23.58,2549.7,44
30대,,일일(회원),5.19,629.32,11
40대,,일일(회원),0.82,129.46,2
20대,,일일(회원),4.55,571.02,5
10대,F,일일(회원),0.93,102.83,5
20대,F,일일(회원),7.2,711.39,19
30대,F,일일(회원),3.18,274.61,11
40대,F,일일(회원),1.38,137.78,9
50대,F,일일(회원),0.19,21.04,1
기타,F,일일(회원),3.49,360.34,7
10대,M,일일(회원),3.12,335.78,8
20대,M,일일(회원),10.21,1250.54,26
30대,M,일일(회원),9.95,1342.22,23
40대,M,일일(회원),2.12,290.55,6
50대,M,일일(회원),4.14,612.18,8
60대,M,일일(회원),3.17,359.46,6
기타,M,일일(회원),5.4,700.85,11
10대,,정기,0.12,12.36,1
20대,,정기,94.58,10694.61,327
30대,,정기,36.85,4356.36,136
40대,,정기,47.24,5253.12,112
50대,,정기,18.31,2297.22,49
60대,,정기,7.23,850.22,28
70대이상,,정기,1.02,113.53,3
기타,,정기,3.77,495.63,17
20대,,정기,4.85,552.25,10
30대,,정기,41.52,6104.67,41
40대,,정기,0.19,32.87,2
50대,,정기,2.21,308.94,6
10대,F,정기,2.98,328.69,14
20대,F,정기,19.4,1984.02,80
30대,F,정기,19.85,2004.28,85
40대,F,정기,6.91,714.51,19
50대,F,정기,31.3,2962.12,51
70대이상,F,정기,0.48,53.02,1
기타,F,정기,4.84,480.92,26
10대,M,정기,6.73,752.72,27
20대,M,정기,41.36,5126.71,141
30대,M,정기,36.03,4387.68,140
40대,M,정기,25.74,3323.58,97
50대,M,정기,28.53,3478.66,72
60대,M,정기,13.9,1609.7,49
70대이상,M,정기,0.17,20.03,4
기타,M,정기,15.92,2025.9,63
10대,F,단체,0,0,1
20대,M,단체,1.04,129.92,3
기타,,일일(비회원),0.48,53.28,2
10대,,일일(회원),0.21,28.51,1
20대,,일일(회원),9.43,1008.56,14
40대,,일일(회원),0.51,61.66,1
50대,,일일(회원),1.36,176.8,2
기타,,일일(회원),0.32,32.31,1
10대,,일일(회원),0.27,31.05,1
10대,F,일일(회원),2.42,209.38,3
20대,F,일일(회원),5.21,508.06,12
30대,F,일일(회원),3.06,282.46,3
40대,F,일일(회원),4.67,446.59,3
10대,M,일일(회원),3.15,356.71,8
20대,M,일일(회원),8.25,1023.05,12
30대,M,일일(회원),3.5,497.41,15
40대,M,일일(회원),3.95,558.59,3
10대,,정기,4.69,622.05,8
20대,,정기,30.15,3352.67,101
30대,,정기,17.75,1973.8,26
40대,,정기,24.78,2991.23,28
50대,,정기,6.14,764.27,24
60대,,정기,1.02,116.94,2
기타,,정기,2.63,283.89,2
20대,,정기,2.05,294.18,6
30대,,정기,11.12,1568.27,23
40대,,정기,3.3,394.03,2
50대,,정기,0.91,114.21,3
60대,,정기,6.2,615.52,20
10대,F,정기,0.39,34.22,1
20대,F,정기,4.07,403.46,24
30대,F,정기,0,0,1
40대,F,정기,2.07,214.25,4
50대,F,정기,8.23,778.09,14
기타,F,정기,2.36,208.03,7
10대,M,정기,5.37,702.82,14
20대,M,정기,3.92,499.56,12
30대,M,정기,4.25,570.59,16
40대,M,정기,13.55,1559.57,20
50대,M,정기,8.49,1052.13,15
60대,M,정기,0.56,66.71,3
70대이상,M,정기,0.82,93.77,3
기타,M,정기,0.89,114.1,6
20대,,단체,0.3,37.81,2
20대,,일일(회원),0.34,49.95,1
30대,,일일(회원),0.28,27.68,1
40대,,일일(회원),0.64,86.73,2
50대,,일일(회원),0.14,14.18,1
기타,,일일(회원),0.56,49.63,1
30대,F,일일(회원),1.49,171.42,3
50대,F,일일(회원),0.73,73.36,1
10대,M,일일(회원),0.67,74.57,1
20대,M,일일(회원),0.52,67.02,2
40대,M,일일(회원),2.05,206.07,1
기타,M,일일(회원),0.28,31.51,4
10대,,정기,0.98,117.53,1
20대,,정기,1.58,211.36,7
30대,,정기,3.1,457.37,8
40대,,정기,0.5,42.77,2
50대,,정기,3.26,472.2,13
60대,,정기,2.16,184.29,2
70대이상,,정기,0,0,1
기타,,정기,0,0,1
20대,,정기,0.49,74.9,1
40대,,정기,1.28,166.11,1
10대,F,정기,0.27,22.95,3
20대,F,정기,2.88,296.22,7
30대,F,정기,0.42,46.58,2
40대,F,정기,0.09,8.64,1
50대,F,정기,0.39,38.59,1
20대,M,정기,0.11,12.96,4
30대,M,정기,1.88,213.1,6
40대,M,정기,0.13,17.44,1
50대,M,정기,0.46,63.04,2
기타,M,정기,0.55,67.57,3
기타,,일일(비회원),6.36,705.34,1
10대,,일일(회원),0.78,91.08,2
30대,,일일(회원),1.6,230.62,5
10대,F,일일(회원),1.19,91.77,1
10대,M,일일(회원),0.97,119.12,3
30대,M,일일(회원),4.48,549.54,5
20대,,정기,4.19,608.39,25
30대,,정기,0.72,71.66,3
40대,,정기,0.8,112.74,1
50대,,정기,1.2,152.79,3
60대,,정기,0.42,50.45,3
50대,,정기,0.47,52.18,1
40대,F,정기,2,214.2,4
50대,F,정기,0.17,16.64,1
20대,M,정기,0.34,39.42,1
30대,M,정기,2.68,326.96,3
40대,M,정기,2.31,257.37,15
50대,M,정기,3,417.83,6
70대이상,M,정기,12.4,1375.7,40
기타,M,정기,4.08,492.13,24
10대,,일일(회원),1.49,133.93,3
20대,,일일(회원),2.86,285.8,4
20대,F,일일(회원),1.26,108.29,4
40대,F,일일(회원),1.27,125.27,1
10대,M,일일(회원),0.36,39.15,3
40대,M,일일(회원),0,0,1
10대,,정기,0,0,3
20대,,정기,1.14,112.92,3
30대,,정기,7.77,963.36,26
40대,,정기,0.34,29.71,5
50대,,정기,1.4,169.37,10
60대,,정기,0.14,16.16,2
기타,,정기,0.3,33.68,1
30대,F,정기,0,0,1
40대,F,정기,2.71,258,5
