Department,District,Sname,Stid,Stid_temp
이수3팀,서초구,2210. 반포1동 주민센터 앞,2210,2210
이수2팀,서초구,2225.백석예술대학교 제3캠퍼스 앞,2225,2225
천호2팀,송파구,4479. 문정중학교,4479,4479
학여울1팀,강남구,3615. 서울 논현동우체국 앞,3615,3615
상암3팀,은평구,937. 상림마을 롯데캐슬2단지 옆,937,937.
학여울2팀,송파구,1242. 문정 법조단지6,1242,1242
이수3팀,서초구,2510. JW타워,2510,2510
상암3팀,은평구,4668. 기자촌사거리,4668,4668
상암3팀,은평구,968. 은평뉴타운 상림마을 13단지,968,968.
학여울1팀,강남구,2347. 두산건설 본사,2347,2347
천왕1팀,구로구,2809.항동지구 11단지 1103동 앞,2809,2809
천왕1팀,구로구,2806.항동지구 4단지 입구,2806,2806
천왕1팀,구로구,3922. 서울남부교정시설 앞,3922,3922
세종로 4팀,용산구,4617. 동원베네스트 건너편,4617,4617
이수2팀,동작구,2092.흑석한강푸르지오(110동),2092,2092
세종로 4팀,중구,443.호암아트홀,443,443.
이수1팀,서초구,4309. 서초케이타운앞,4309,4309
세종로3팀,용산구,4623. 라인프랜즈이태원점 앞,4623,4623
이수3팀,서초구,4327. 몽마르뜨공원입구,4327,4327
학여울2팀,송파구,2659.서울친환경유통센터,2659,2659
영남2팀,관악구,2141. 미림여고입구 교차로,2141,2141
천왕3팀,금천구,1866.서울안천초등학교 옆,1866,1866
학여울1팀,강남구,2386. 크린랩 본사,2386,2386
이수2팀,동작구,2061. 한강 현대아파트 건너편,2061,2061
천호1팀,강동구,1039. 고덕초등학교,1039,1039
중랑3팀,중랑구,1467.sk신내 주유소앞(용마산로),1467,1467
도봉4팀,강북구,1572. 우이동 먹거리마을,1572,1572
이수3팀,서초구,2533.한가람미술관 앞,2533,2533
이수2팀,동작구,2079.중앙대학교 중앙광장,2079,2079
천호1팀,강동구,1007.암사동 선사유적지,1007,1007
천왕1팀,구로구,2807.항동지구 1단지 105동 앞,2807,2807
이수1팀,서초구,4310. 염곡동(염통골) 입구,4310,4310
세종로 4팀,중구,4801. 충정로역 2호선(엘리베이터 앞),4801,4801
학여울2팀,송파구,1250.문정2동 주민센터,1250,1250
중랑3팀,중랑구,1422. 신내우디안아파트 1단지,1422,1422
천왕1팀,구로구,3915. 동선아파트 앞,3915,3915
학여울2팀,송파구,4488. 문현중.고등학교 사이,4488,4488
학여울1팀,강남구,2334. 삼호아파트 2동 ( 간선도로),2334,2334
이수2팀,동작구,4177. 롯데캐슬 101동 앞,4177,4177
세종로2팀,종로구,465. 삼청공원 앞,465,465.
천호1팀,강동구,1066.생태공원앞 교차로(조명탑),1066,1066
상암1팀,마포구,4239. 성산2동 주민센터,4239,4239
천호1팀,강동구,1089.고덕 래미안힐스테이트(201동),1089,1089
이수3팀,서초구,2532.국립국악원 앞,2532,2532
상암3팀,은평구,921. 신도고등학교,921,921.
학여울1팀,강남구,2304. 대현그린타워,2304,2304
이수2팀,동작구,2040. 비계 버스정류소,2040,2040
상암3팀,은평구,938. 금암 문화공원,938,938.
이수2팀,서초구,2226. 신동아럭스빌아파트 앞,2226,2226
천왕3팀,금천구,3967. 혜명양로원 담장 옆(2),3967,3967
천왕1팀,구로구,3910. 목양전원교회 앞 로터리,3910,3910
영남3팀,영등포구,4584. 국회2문,4584,4584
학여울1팀,강남구,3649. 구룡역 5번 출구,3649,3649
중랑3팀,중랑구,1445. 용마지구대,1445,1445
세종로3팀,용산구,854.HID 유족동지회 앞,854,854.
천호1팀,강동구,3652. 한영외국어고등학교,3652,3652
중랑2팀,성동구,3556.신금호파크자이APT앞,3556,3556
이수3팀,강남구,4907. 극동스포츠 앞,4907,4907
천왕3팀,금천구,1855. 성지아파트 옆 도로변,1855,1855
중랑3팀,중랑구,4830. 신내 우디안 111동 앞,4830,4830
도봉2팀,노원구,4021. 중계본동 입구,4021,4021
천호1팀,강동구,3698. 명일역 3번출구 옆,3698,3698
세종로 4팀,중구,384. 종로학원본원,384,384.
천호2팀,송파구,1283. 오금공원 사거리,1283,1283
천왕1팀,구로구,3911. 항동하버리안2단지아파트 후문,3911,3911
세종로3팀,용산구,855.이촌역5번출구 앞,855,855.
세종로3팀,용산구,831. 이태원관광특구입구,831,831.
중랑3팀,중랑구,1427. 용마산역 1번출구,1427,1427
이수2팀,동작구,2093.상도SH빌아파트 입구,2093,2093
중랑2팀,성동구,3531. 논골사거리(금호도서관 입구),3531,3531
상암3팀,은평구,4681.박석고개(은평소방서) 앞,4681,4681
천왕3팀,금천구,1861.IBK기업은행 석수역 지점 앞,1861,1861
중랑1팀,광진구,3563.구의7단지현대아파트,3563,3563
이수3팀,서초구,2545.국립중앙도서관(국제회의장옆),2545,2545
세종로3팀,용산구,4611. 국제루터교회 앞,4611,4611
중랑1팀,광진구,3524. 세종대학교,3524,3524
천호2팀,송파구,4896. 위례포레샤인15단지,4896,4896
천왕3팀,금천구,3970. 시흥4동주민센터 앞,3970,3970
학여울1팀,강남구,3647. 구룡역 1번 출구,3647,3647
상암1팀,마포구,3005.마포구청 청사내,3005,3005
세종로1팀,종로구,3429.HW컨벤션센터 앞,3429,3429
도봉2팀,노원구,1675. 월계문화체육센터,1675,1675
학여울1팀,강남구,2311. 학동로 래미안 아파트 앞,2311,2311
도봉4팀,강북구,1541. 삼양역,1541,1541
천호1팀,강동구,1062. 고덕숲 아이파크 2,1062,1062
학여울2팀,강남구,2425.세곡동 사거리(대왕초등학교 정류장),2425,2425
천왕1팀,구로구,2808.항동지구 2단지 202동 앞,2808,2808
이수1팀,서초구,4319. 삼성전자R&D어린이집 뒤,4319,4319
학여울1팀,강남구,2398. 더라움,2398,2398
학여울1팀,강남구,2417.선정릉 디캠프(D.CAMP)앞,2417,2417
상암3팀,은평구,945. 기자촌 사거리,945,945.
이수1팀,서초구,2249. 우솔초등학교 맞은편,2249,2249
천왕3팀,금천구,3972. 산기슭공원 앞,3972,3972
이수2팀,동작구,2064. 흑석한강푸르지오 106동앞,2064,2064
이수3팀,서초구,2517.서초3교(효령로69길 방면),2517,2517
학여울1팀,강남구,3621. 휘문고교 사거리,3621,3621
학여울1팀,강남구,3616. 역삼중학교 앞(체육관 방향),3616,3616
천왕3팀,금천구,1864.산호시티빌 옆,1864,1864
영남3팀,영등포구,297.국회3문,297,297.
훈련원2팀,성북구,1393.돈암육교 하단,1393,1393
세종로3팀,용산구,4613. 서울갤러리아 앞,4613,4613
이수3팀,서초구,2269. 주홍교 하부,2269,2269
상암3팀,은평구,974.연신초등학교옆 마을마당,974,974.
상암1팀,마포구,4221. 솔리스타오피스텔(공덕동주민센터),4221,4221
훈련원2팀,성북구,1376. 한국과학기술연구원 중문,1376,1376
이수2팀,관악구,2130. 영어마을 관악캠프,2130,2130
학여울2팀,강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),2403,2403
훈련원2팀,성북구,1377. 한국과학기술연구원 북문,1377,1377
중랑3팀,중랑구,1435. 능산삼거리,1435,1435
이수2팀,동작구,4153. 흑석동효사정앞,4153,4153
세종로1팀,종로구,3428.서울미술관,3428,3428
상암2팀,서대문구,4262. 서대문자연사박물관 입구,4262,4262
상암1팀,마포구,432. 마포중앙도서관,432,432.
학여울2팀,강남구,3602. 한국지역난방공사강남지사,3602,3602
천호2팀,송파구,4473. 마천금호어울림 1차 102동앞,4473,4473
천왕3팀,금천구,1842. 한울중학교,1842,1842
천왕1팀,구로구,3902. 항동지구5단지 501동 앞,3902,3902
상암2팀,은평구,934. 신사동 성당,934,934.
영남3팀,영등포구,5852. 대림동현대2차 201동 앞,5852,5852
상암3팀,은평구,4672. 준빌딩 앞,4672,4672
상암2팀,서대문구,3111.무악재역 4번 출구,3111,3111
학여울1팀,강남구,2350. 래미안그레이튼102동앞,2350,2350
세종로3팀,용산구,4639. 동빙고근린공원,4639,4639
도봉3팀,도봉구,1730. 도봉산역 교차로 앞,1730,1730
중랑2팀,성동구,3561.행당동 삼부APT후문,3561,3561
중랑3팀,중랑구,1453. 중랑캠핑숲,1453,1453
상암1팀,마포구,422. 문화비축기지,422,422.
학여울2팀,강남구,3624. 대모산입구역 7번 출구 앞,3624,3624
상암2팀,서대문구,3126.남가좌동 제2공영주차장,3126,3126
상암1팀,서대문구,4266.국민연금공단충정로사옥,4266,4266
중랑3팀,중랑구,1406. 망우청소년수련관,1406,1406
천호1팀,강동구,3539. 서원마을,3539,3539
이수2팀,관악구,3810. 신봉천주유소 B,3810,3810
훈련원2팀,성북구,1392.돈암삼성풍림아파트,1392,1392
훈련원1팀,중구,483.남산타운아파트 버스정류장,483,483.
천왕3팀,금천구,1816. 금천폭포공원 앞,1816,1816
천호2팀,송파구,4879. 마천청소년센터,4879,4879
천왕3팀,금천구,3973. 독산2동주민센터 앞,3973,3973
세종로3팀,용산구,812. 용산전쟁기념관,812,812.
천왕1팀,구로구,3920. 개봉역2번출구 B,3920,3920
천왕3팀,금천구,1857. 주공14단지,1857,1857
천왕1팀,구로구,1951. 천왕이펜하우스 4단지 후문,1951,1951
이수2팀,서초구,2283. 그룹한빌딩옆,2283,2283
중랑1팀,광진구,3503. 광진유진스웰,3503,3503
천왕3팀,금천구,1836. 금천구립 독산도서관,1836,1836
이수3팀,서초구,2519.서초2교(사임당로 방면),2519,2519
이수3팀,서초구,2235.KT 서초지사 앞,2235,2235
학여울2팀,강남구,2383. 보금자리정원,2383,2383
이수3팀,강남구,4903. 신사스퀘어,4903,4903
학여울1팀,강남구,2354. 청담역 2번출구,2354,2354
중랑3팀,중랑구,1410. 면목 대원칸타빌아파트,1410,1410
개화1팀,강서구,1200. 개화광역환승센터,1200,1200
학여울1팀,강남구,2371. 한국우편사업진흥원,2371,2371
중랑1팀,광진구,3564.나루마당,3564,3564
천호2팀,송파구,4461. 한양3차아파트 3동 앞,4461,4461
이수2팀,동작구,2078.흑석 아크로리버하임(103동),2078,2078
상암1팀,서대문구,3100. 북성초교,3100,3100
훈련원4팀,동대문구,608. 전농삼성아파트,608,608.
개화1팀,강서구,1101. 개화동상사마을종점 버스정류장,1101,1101
훈련원4팀,동대문구,681.서울특별시 동부교육지원청(육교),681,681.
훈련원1팀,종로구,3401.창신두산아파트,3401,3401
이수3팀,서초구,4304. 서울고앞,4304,4304
훈련원2팀,성북구,1353. 금호어울림센터힐 내,1353,1353
상암3팀,은평구,994.북한산생태공원입구(교통섬),994,994.
영남2팀,동작구,4158. 노량진근린공원,4158,4158
도봉4팀,강북구,1558.강북문화정보도서관,1558,1558
훈련원2팀,성북구,1304. 만해공원,1304,1304
세종로 4팀,용산구,4625. 용산공원갤러리앞,4625,4625
이수1팀,서초구,2256.양재동 꽃시장 입구,2256,2256
세종로3팀,용산구,4632. 용산 푸르지오 파크타운 1단지 앞,4632,4632
이수1팀,서초구,2203. 청계산입구역 2번출구,2203,2203
세종로3팀,용산구,802. 한강진역 2번 출구 앞,802,802.
상암3팀,은평구,992.북한산입구 정류장,992,992.
상암3팀,은평구,977.신도중학교앞,977,977.
중랑3팀,중랑구,4834. 용마복지센터 앞,4834,4834
천왕3팀,금천구,1847. 독산주공 14단지 버스정류소,1847,1847
학여울2팀,강남구,3611. 방죽마을 입구,3611,3611
이수3팀,서초구,4312. 반포미도2차아파트 옆,4312,4312
중랑2팀,성동구,3530. 왕십리자이아파트 후문(삼거리),3530,3530
학여울1팀,강남구,3620. 청담역 11번 출구,3620,3620
천호2팀,송파구,4892. 성내유수지 체육공원,4892,4892
상암1팀,서대문구,3114.충정로역 3번 출구,3114,3114
도봉4팀,강북구,3714. 송천센트레빌,3714,3714
중랑2팀,성동구,3551.성동도로사업소,3551,3551
천호2팀,송파구,2609. 보성중고등학교 후문 앞,2609,2609
이수3팀,서초구,2548.반포1동 자율방범초소 옆,2548,2548
영남3팀,영등포구,4585. 국회6문,4585,4585
중랑2팀,성동구,3555.양지사거리(센트라스APT 115동앞),3555,3555
천호2팀,송파구,4881. 거여동사거리 송파둘레길 입구,4881,4881
중랑3팀,중랑구,4802. 새우개마을,4802,4802
천왕3팀,금천구,1820. 신한은행 시흥대로금융센터지점,1820,1820
천왕3팀,금천구,3974. 안천중학교,3974,3974
학여울2팀,강남구,3637. 세곡데이케어센터,3637,3637
세종로3팀,용산구,4608. 국립중앙박물관 정문 앞,4608,4608
영남3팀,영등포구,4580. 국회3문,4580,4580
천왕1팀,구로구,2817.천왕이펜하우스5단지 앞,2817,2817
천왕2팀,금천구,1850. 코오롱테크노밸리,1850,1850
세종로1팀,종로구,451. 청와대앞길,451,451.
천왕1팀,구로구,1969. 궁동생태공원,1969,1969
이수2팀,동작구,2038. 동작역 7번출구,2038,2038
세종로1팀,종로구,3427.인왕산 아이파크 정문,3427,3427
세종로 4팀,용산구,823. 효창동주민센터 앞,823,823.
학여울1팀,강남구,2363. 강남 을지병원 교차로,2363,2363
세종로3팀,용산구,858.녹사평역3번 출구,858,858.
이수3팀,서초구,4315. 이투스교육 앞,4315,4315
이수2팀,동작구,2071. 대림아파트 후문 상가 옆,2071,2071
도봉4팀,강북구,1538. 솔밭공원역,1538,1538
상암2팀,서대문구,3105. 홍은센트레빌 아파트 앞,3105,3105
중랑3팀,중랑구,1463.중랑구민회관,1463,1463
훈련원4팀,동대문구,616. 서울시립대 앞,616,616.
개화1팀,강서구,1196. 서울식물원(문화센터) 건너편,1196,1196
이수1팀,서초구,2516.본마을 노인복지센터 앞,2516,2516
영남3팀,영등포구,4583. 의정관,4583,4583
학여울1팀,강남구,2349. 역삼빌딩 앞(하나은행 옆),2349,2349
개화2팀,강서구,1181. 농수산식품공사 (강서지사),1181,1181
영남3팀,영등포구,295.영등포공원 분수대 앞,295,295.
중랑3팀,중랑구,1459. 용마한신아파트사거리,1459,1459
영남2팀,관악구,2184. 구암초등학교 버스정류장,2184,2184
천왕1팀,구로구,2804.항동지구 6단지 602동 앞,2804,2804
천왕3팀,금천구,1852. 혜명양로원 담장 옆,1852,1852
영남3팀,영등포구,4582. 국회도서관,4582,4582
상암1팀,서대문구,3117.이화여대 인문관 인근,3117,3117
천호1팀,강동구,1038. 강일 다솜 어린이 공원,1038,1038
상암2팀,서대문구,3109.북한산더? 106동 앞,3109,3109
학여울1팀,강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),2390,2390
세종로2팀,종로구,352. 중앙고입구 삼거리,352,352.
세종로 4팀,중구,435. SK 남산빌딩,435,435.
이수2팀,관악구,2165. JK장평타워,2165,2165
세종로 4팀,중구,442.서울역 서부,442,442.
세종로1팀,종로구,3426.독립문역 2번출구 뒤,3426,3426
도봉3팀,도봉구,1703. 도봉산광역환승센터앞,1703,1703
중랑3팀,중랑구,4840. 서울시 북부병원 앞,4840,4840
천왕3팀,금천구,1823. 상신정비공업 앞,1823,1823
훈련원1팀,종로구,3402.이화공영주차장,3402,3402
상암2팀,은평구,4684. 응암2동주민센터 버스정류장(영락중학교 방면),4684,4684
도봉3팀,도봉구,1756.서울북부광역등기국,1756,1756
세종로 4팀,중구,4752. 삼성사이버빌리지아파트,4752,4752
상암1팀,마포구,4234. 에스테반,4234,4234
중랑3팀,중랑구,1426. 면목도시개발아파트 1동 앞,1426,1426
천왕1팀,구로구,2814.항동지구 10단지 1001동 앞,2814,2814
도봉3팀,도봉구,1728. 서울북부지방법원,1728,1728
천왕2팀,구로구,1979. 구로1동우체국 앞,1979,1979
천왕3팀,금천구,1858. 500번·507번 버스 종점 앞,1858,1858
훈련원2팀,성북구,1316. 고려사대부속중고 건너편,1316,1316
중랑2팀,성동구,569. 응봉현대아파트 정류소,569,569.
천호1팀,강동구,3663. 암사정수센터교차로(강동롯데캐슬퍼스트아파트),3663,3663
천호1팀,강동구,1054. 말우물 어린이 공원,1054,1054
훈련원2팀,성북구,1370. 복자사랑 피정의 집,1370,1370
상암3팀,은평구,973.제각말푸르지오 5-1단지 아파트,973,973.
도봉4팀,강북구,3703. 신성교회 앞,3703,3703
개화2팀,강서구,3766. 강서문화센터,3766,3766
세종로 4팀,용산구,4602. 숙명여대앞 버스정류소 주변,4602,4602
학여울1팀,강남구,2309. 청담역(우리들병원 앞),2309,2309
훈련원2팀,성북구,1314. 정릉꿈에그린1단지 201동 앞,1314,1314
이수3팀,강남구,2406. 논현동 광명빌딩 앞,2406,2406
훈련원2팀,성북구,1365. 선잠단지 앞,1365,1365
천호1팀,강동구,3672. 고덕중학교 후문,3672,3672
도봉4팀,강북구,1510. 번동주공5단지 관리사무소 앞,1510,1510
상암1팀,마포구,127. 현대벤처빌 앞,127,127.
이수2팀,관악구,3806. 낙성대 교수아파트,3806,3806
학여울2팀,송파구,4885. 가든파이브 리빙관,4885,4885
세종로1팀,종로구,449. 일성아파트,449,449.
훈련원1팀,중구,428. 명보사거리,428,428.
상암1팀,서대문구,173. 서대문역 8번출구 앞,173,173.
중랑3팀,중랑구,4811. 한양수자인아파트 앞,4811,4811
영남2팀,동작구,2057. 상도 아이파크 아파트,2057,2057
상암2팀,서대문구,161. 무악재역1번 출구,161,161.
영남2팀,관악구,3310.영락고등학교,3310,3310
학여울1팀,강남구,2427.개포고등학교 정문앞,2427,2427
이수1팀,서초구,4329. SC제일은행 양재동지점 앞,4329,4329
이수1팀,서초구,2285. LH서초3단지 301동 맞은편,2285,2285
천왕1팀,양천구,724. 계남공원 입구 주출입구 좌측,724,724.
천호1팀,강동구,1006. 롯데캐슬 115동앞,1006,1006
천호1팀,강동구,1071.명일근린공원공동체텃밭,1071,1071
훈련원1팀,종로구,4703. 쌍용아파트2단지 정문,4703,4703
영남2팀,동작구,4162. 노량진1동 청소년독서실,4162,4162
이수2팀,동작구,2041. 사당중학교 버스정류소,2041,2041
상암1팀,마포구,494.신수동주민센터,494,494.
학여울2팀,송파구,1263. 장지공영차고지,1263,1263
세종로 4팀,용산구,830. 청암자이아파트앞,830,830.
훈련원4팀,동대문구,679.전농SK아파트 앞,679,679.
학여울1팀,강남구,2305. MCM 본사 직영점 앞,2305,2305
도봉4팀,강북구,1513. 강북구청 뒷편,1513,1513
학여울1팀,강남구,3646. 선정릉역 4번 출구,3646,3646
상암1팀,마포구,410. 상암중학교 옆,410,410.
이수1팀,서초구,2258.구룡사 삼거리,2258,2258
천왕3팀,금천구,1865.금천구청앞(M빌딩),1865,1865
세종로2팀,중구,4761. 탐앤탐스 을지로3가점,4761,4761
상암3팀,은평구,959. 구파발10단지 인근,959,959.
세종로2팀,중구,4784. 중부경찰서앞 사거리,4784,4784
상암1팀,서대문구,171. 임광빌딩 앞,171,171.
천호2팀,송파구,4888. 둔촌오륜역 2번출구,4888,4888
학여울2팀,송파구,1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,1290,1290
